Ticker, Code, Name
BOS,GOOG/AMEX_BOS,PowerShares DB Base Metals Short ETN 
BPS,GOOG/AMEX_BPS,BlackRock Pennsylvania Strategic Municipal Trust 
BQY,GOOG/AMEX_BQY,Blackrock S&amp;P Qlty Rnkngs Glb Eq Mngd Tr 
BRAF,GOOG/AMEX_BRAF,Global X Funds 
BRAQ,GOOG/AMEX_BRAQ,Global X Funds 
BRAZ,GOOG/AMEX_BRAZ,Global X Funds 
BRD,GOOG/AMEX_BRD,Brigus Gold Corp 
BRF,GOOG/AMEX_BRF,Market Vectors Brazil Small Cap ETF 
BRIL,GOOG/AMEX_BRIL,BRIC Bull 3X Direxion 
BRIS,GOOG/AMEX_BRIS,BRIC Bear 3X Direxion 
BRN,GOOG/AMEX_BRN,Barnwell Industries
BRXX,GOOG/AMEX_BRXX,Brazil Infrastructure Index Fund 
BSCC,GOOG/AMEX_BSCC,2012 Corp Bond Bulletshares Guggenheim 
BSCD,GOOG/AMEX_BSCD,Guggenheim BulletShares 2013 Corp Bd ETF 
BSCE,GOOG/AMEX_BSCE,Claymore Exchange
BSCF,GOOG/AMEX_BSCF,Claymore Exchange
BSCG,GOOG/AMEX_BSCG,Claymore Exchange
BSCH,GOOG/AMEX_BSCH,Claymore Exchange
BSCI,GOOG/AMEX_BSCI,2018 Corp Bond Bulletshares Guggenheim 
BSCJ,GOOG/AMEX_BSCJ,2019 Corp Bond Bulletshares Guggenheim 
BSCK,GOOG/AMEX_BSCK,2020 Corp Bond Bulletshares Guggenheim 
BSJC,GOOG/AMEX_BSJC,2012 HY Crp Bond Bulletshares Guggenheim 
BSJD,GOOG/AMEX_BSJD,Claymore Exchange
BSJE,GOOG/AMEX_BSJE,Claymore Exchange
BSJF,GOOG/AMEX_BSJF,Claymore Exchange
BSJG,GOOG/AMEX_BSJG,2016 HY C Bd ETF Bulletshares Guggenheim 
BSJH,GOOG/AMEX_BSJH,2017 HY C Bd ETF Bulletshares Guggenheim 
BSJI,GOOG/AMEX_BSJI,2018 HY C Bd ETF Bulletshares Guggenheim 
BSQ,GOOG/AMEX_BSQ,Bank Of America Corp. 
BSV,GOOG/AMEX_BSV,Vanguard Short-Term Bond ETF 
BTAH,GOOG/AMEX_BTAH,US High Beta Market Neutral ETF Quantshares 
BTAL,GOOG/AMEX_BTAL,FQF Trust 
BTC,GOOG/AMEX_BTC,Community Bankers Trust Corp. 
BTI,GOOG/AMEX_BTI,British American Tobacco PLC 
BTN,GOOG/AMEX_BTN,Ballantyne Strong Inc 
BTX,GOOG/AMEX_BTX,BioTime
BUND,GOOG/AMEX_BUND,Germany Bond Index ETF Pimco 
BUNL,GOOG/AMEX_BUNL,Deutsche Bank AG
BUNT,GOOG/AMEX_BUNT,PowerShares DB 3X German Bund Futures ETN 
BVX,GOOG/AMEX_BVX,Bovie Medical Corporation 
BWL_A,GOOG/AMEX_BWL_A,Bowl America Incorporated 
BWV,GOOG/AMEX_BWV,iPath Goldman Sachs Barclays Bank PLC iPath Exchange Traded Notes Linked to the CBOE S&amp;P 500 BuyWrite Index Structured Product 
BWX,GOOG/AMEX_BWX,SPDR Barclays Capital Intl Tresy Bd ETF 
BWZ,GOOG/AMEX_BWZ,SPDR Barclays Capital Short Term Int ETF 
BXDB,GOOG/AMEX_BXDB,Barclays Short B Leveraged S&amp;P 500 TR ETN 
BXDC,GOOG/AMEX_BXDC,Short C Lvgd Inv S&P 500 TR ETN Barclays 
BXUB,GOOG/AMEX_BXUB,Barclays Long B Leveraged S&amp;P 500 TR ETN 
BXUC,GOOG/AMEX_BXUC,Barclays Long C Leveraged S&amp;P 500 TR ETN 
BZC,GOOG/AMEX_BZC,Breeze-Eastern Corp 
BZF,GOOG/AMEX_BZF,WisdomTree Dreyfus ETF BZ Real Fnd 
BZM,GOOG/AMEX_BZM,Blackrock Maryland Municipal Bond Trust 
BZQ,GOOG/AMEX_BZQ,ProShares UltraShort MSCI Brazil Capped 
CAD,GOOG/AMEX_CAD,Canada Bond Index ETF Pimco 
CAFE,GOOG/AMEX_CAFE,Barclays Bank Plc 
CAK,GOOG/AMEX_CAK,CAMAC Energy Inc 
CANE,GOOG/AMEX_CANE,Teucrium Sugar Fund 
CAW,GOOG/AMEX_CAW,CCA Industries
CBND,GOOG/AMEX_CBND,SPDR Series Trust 
CBP,GOOG/AMEX_CBP,China Botanic Pharmaceutical Inc 
CCA,GOOG/AMEX_CCA,MFS California Municipal Fund Common Shares of Beneficial Interest 
CCF,GOOG/AMEX_CCF,Chase Corp. 
CCVX,GOOG/AMEX_CCVX,Daily 3-Mo S&P 500 VIX ETN UBS E-Tracs 
CCX,GOOG/AMEX_CCX,WisdomTree Trust 
CCXE,GOOG/AMEX_CCXE,WisdomTree Intl Basic Materials Fund 
CDK,GOOG/AMEX_CDK,Bank Of America Corp. 
CDY,GOOG/AMEX_CDY,Cardero Resources Corp. 
CEF,GOOG/AMEX_CEF,Central Fund of Canada Limited 
CEMB,GOOG/AMEX_CEMB,Emrg Mkts Corporate Bond Fund Ishares 
CEP,GOOG/AMEX_CEP,Constellation Energy Partners LLC 
CET,GOOG/AMEX_CET,Central Securities Corp. 
CEV,GOOG/AMEX_CEV,Eaton Vance California Mun. Income Trust 
CEW,GOOG/AMEX_CEW,WisdomTree Dreyfus Emerging Currency Fd 
CFD,GOOG/AMEX_CFD,Nuveen Diversified Commodity Fund 
CFP,GOOG/AMEX_CFP,Cornerstone Progressive Return Fund 
CFT,GOOG/AMEX_CFT,iShares Barclays Credit Bond Fund 
CGQ,GOOG/AMEX_CGQ,Bank Of America Corp. 
CGR,GOOG/AMEX_CGR,Claude Resources Inc. 
CGW,GOOG/AMEX_CGW,Claymore S&amp;P Global Water Index 
CH,GOOG/AMEX_CH,Aberdeen Chile Fund
CHEP,GOOG/AMEX_CHEP,FQF Trust 
CHGS,GOOG/AMEX_CHGS,China GengSheng Minerals
CHIE,GOOG/AMEX_CHIE,Global X China Energy ETF 
CHII,GOOG/AMEX_CHII,Global X China Industrials ETF 
CHIM,GOOG/AMEX_CHIM,Global X China Materials ETF 
CHIQ,GOOG/AMEX_CHIQ,Global X China Consumer ETF 
CHIX,GOOG/AMEX_CHIX,Global X China Financials ETF 
CHLC,GOOG/AMEX_CHLC,Market Vectors Renminbi Bond ETF 
CHOC,GOOG/AMEX_CHOC,iPath Pure Beta Cocoa ETN 
CHXX,GOOG/AMEX_CHXX,INDXX China Infrastructure Index Fund 
CIK,GOOG/AMEX_CIK,Credit Suisse AM Inc Fund Inc. 
CIU,GOOG/AMEX_CIU,iShares Lehman Intermdte Credit Bnd
CIX,GOOG/AMEX_CIX,CompX International Inc. 
CKX,GOOG/AMEX_CKX,CKX Lands Inc 
CLM,GOOG/AMEX_CLM,Cornerstone Strategic Value Fund Inc. 
CLY,GOOG/AMEX_CLY,iShares 10+ Year Credit Bond Fund ETF 
CMBS,GOOG/AMEX_CMBS,CMBS Bond Ishares 
CMD,GOOG/AMEX_CMD,Proshares Trust II 
CMF,GOOG/AMEX_CMF,iShares S&amp;P Cal AMTFr Mncpl Bnd Fd 
CMFO,GOOG/AMEX_CMFO,China Marine Food Group Ltd 
CMT,GOOG/AMEX_CMT,Core Molding Technologies
CNAM,GOOG/AMEX_CNAM,China Armco Metals Inc 
CNDA,GOOG/AMEX_CNDA,Index IQ Canada Small Cap ETF 
CNPF,GOOG/AMEX_CNPF,Global X Funds 
CNR,GOOG/AMEX_CNR,China Metro Rural Holdings Ltd 
CNTR,GOOG/AMEX_CNTR,Russell Contrarian ETF 
CNY,GOOG/AMEX_CNY,Market Vectors Chinese Renminbi/USD ETN 
COBO,GOOG/AMEX_COBO,USD Covered Bond Proshares 
COLX,GOOG/AMEX_COLX,Market Vectors ETF Trust 
CONG,GOOG/AMEX_CONG,Russell Consistent Growth ETF 
CONM,GOOG/AMEX_CONM,Conmed Healthcare Management 
COPX,GOOG/AMEX_COPX,Global X Copper Miners ETF 
CORN,GOOG/AMEX_CORN,Teucrium Corn Fund 
CORP,GOOG/AMEX_CORP,PIMCO ETF Trust 
COVR,GOOG/AMEX_COVR,Cover-All Technologies Inc. 
COW,GOOG/AMEX_COW,iPath Dow Jones UBS Livestock Total Return Sub-Index ETN 
COWL,GOOG/AMEX_COWL,Agribusiness Bull 3X Direxion 
COWS,GOOG/AMEX_COWS,Agribusiness Bear 3X Direxion 
CPER,GOOG/AMEX_CPER,US Copper 
CPHI,GOOG/AMEX_CPHI,China Pharma Holdings
CPI,GOOG/AMEX_CPI,Capital Properties Inc 
CQP,GOOG/AMEX_CQP,Cheniere Energy Partners LP 
CQQQ,GOOG/AMEX_CQQQ,Claymore China Technology ETF 
CRBQ,GOOG/AMEX_CRBQ,Jefferies CRB Global Commodity ETF 
CRC,GOOG/AMEX_CRC,Chromcraft Revington
CRF,GOOG/AMEX_CRF,Cornerstone Total Return Fund Inc 
CRMD,GOOG/AMEX_CRMD,CorMedix Inc. 
CROC,GOOG/AMEX_CROC,Proshares Ultrashort Australian 
CROP,GOOG/AMEX_CROP,Index IQ ETF Trust 
CRUD,GOOG/AMEX_CRUD,Teucrium Crude Oil Fund 
CRV,GOOG/AMEX_CRV,The Coast Distribution System
CRVP,GOOG/AMEX_CRVP,Crystal Rock Holdings Inc 
CSD,GOOG/AMEX_CSD,Claymore Beacon Spin-Off 
CSJ,GOOG/AMEX_CSJ,iShares Barclays 1-3 Year Credit Bond Fd 
CSLS,GOOG/AMEX_CSLS,Credit Suisse Long Short Liquid Index ETN 
CSM,GOOG/AMEX_CSM,ProShares Credit Suisse 130/30 
CSMA,GOOG/AMEX_CSMA,Credit Suisse AG ETN due October 6
CSMB,GOOG/AMEX_CSMB,Credit Suisse Exchange Trade Notes due March 13
CSMN,GOOG/AMEX_CSMN,Market Neutral Global Equity ETN Linked to the HS Market Neutral Index Powered by HOLT due September 15
CTNN,GOOG/AMEX_CTNN,iPath Pure Beta Cotton ETN 
CTO,GOOG/AMEX_CTO,Consolidated-Tomoka Land Co. 
CTP,GOOG/AMEX_CTP,CTPartners Executive Search Inc 
CUO,GOOG/AMEX_CUO,Continental Materials Corporation 
CUPM,GOOG/AMEX_CUPM,iPath Pure Beta Copper ETN 
CUR,GOOG/AMEX_CUR,Neuralstem
CURE,GOOG/AMEX_CURE,Direxion Shares Exchange Traded Fund Trust 
CUT,GOOG/AMEX_CUT,Claymore Beacon Global Timber Index
CVM,GOOG/AMEX_CVM,CEL-SCI Corporation 
CVOL,GOOG/AMEX_CVOL,C Tracks Exchange Traded Notes Based on the Performance of the Citi Volatility Index Total Return Fund 
CVR,GOOG/AMEX_CVR,Chicago Rivet &amp; Machine Co. 
CVRT,GOOG/AMEX_CVRT,Convertible Securities Powershares 
CVU,GOOG/AMEX_CVU,CPI Aerostructures
CVY,GOOG/AMEX_CVY,Claymore/Zacks Multi-Asset Inc Idx 
CWB,GOOG/AMEX_CWB,SPDR Barclays Capital Convertible SecETF 
