"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
27,"AXN","Aoxing Pharmaceutical Company, Inc.","Healthcare","Drug Manufacturers - Major","USA",11.96,,0.26,10.17%,2470
28,"AXU","Alexco Resource Corporation","Basic Materials","Industrial Metals & Minerals","Canada",74.62,,1.20,-3.23%,150260
29,"AXX","Alderon Iron Ore Corp.","Basic Materials","Industrial Metals & Minerals","Canada",214.73,,1.72,4.24%,2365
30,"AZC","Augusta Resource Corp.","Basic Materials","Copper","Canada",222.30,,1.55,0.65%,57577
31,"BAA","Banro Corporation","Basic Materials","Gold","Canada",131.07,18.33,0.55,-0.60%,70008
32,"BBH","Market Vectors Biotech ETF","Financial","Exchange Traded Fund","USA",,,84.23,0.86%,18528
33,"BCV","Bancroft Fund Ltd.","Financial","Closed-End Fund - Debt","USA",97.13,8.77,18.06,-0.06%,3025
34,"BDL","Flanigan's Enterprises Inc.","Services","Specialty Eateries","USA",23.70,11.38,12.85,0.78%,200
35,"BDR","Blonder Tongue Laboratories Inc.","Technology","Communication Equipment","USA",5.91,,0.94,-1.05%,602
36,"BFY","BlackRock New York Municipal Income Trust II","Financial","Closed-End Fund - Debt","USA",,,12.55,0.97%,22540
37,"BGI","Birks & Mayors Inc.","Services","Jewelry Stores","Canada",18.84,63.50,1.24,-2.36%,4086
38,"BHB","Bar Harbor Bankshares","Financial","Regional - Northeast Banks","USA",154.29,12.14,39.20,0.00%,1486
39,"BHV","BlackRock Virginia Municipal Bond Trust","Financial","Asset Management","USA",22.53,9.26,14.39,0.90%,2400
40,"BKJ","Bancorp Of New Jersey, Inc.","Financial","Savings & Loans","USA",72.87,16.01,13.77,0.00%,0
41,"BLE","BlackRock Municipal Income Trust II","Financial","Asset Management","USA",300.71,6.76,12.91,0.55%,49319
42,"BLJ","BlackRock New Jersey Municipal Bond Trust","Financial","Asset Management","USA",30.44,8.25,13.09,-0.23%,6354
43,"BONE","Bacterin International Holdings, Inc.","Healthcare","Biotechnology","USA",19.61,,0.39,2.13%,86169
44,"BPS","BlackRock Pennsylvania Strategic Municipal Trust Fund","Financial","Asset Management","USA",23.12,9.19,11.43,0.35%,1546
45,"BQY","BlackRock S&P Quality Rankings Global Equity Managed Trust","Financial","Closed-End Fund - Equity","USA",,,12.52,-0.32%,17008
46,"BRD","Brigus Gold Corp","Basic Materials","Gold","Canada",180.63,8.67,0.77,-1.46%,403799
47,"BRN","Barnwell Industries Inc.","Basic Materials","Independent Oil & Gas","USA",25.00,,3.08,1.99%,602
48,"BTI","British American Tobacco plc","Consumer Goods","Cigarettes","United Kingdom",98015.94,15.42,104.00,1.54%,95086
49,"BTN","Ballantyne Strong, Inc","Consumer Goods","Photographic Equipment & Supplies","USA",62.85,20.41,4.59,2.23%,10364
50,"BTX","BioTime, Inc.","Healthcare","Biotechnology","USA",190.78,,3.41,-0.58%,55350
51,"BVX","Bovie Medical Corp.","Healthcare","Medical Instruments & Supplies","USA",38.89,,2.23,1.36%,5097
52,"BWL-A","Bowl America Inc.","Services","Sporting Activities","USA",75.63,50.62,14.68,0.00%,0
53,"BXE","Bellatrix Exploration Ltd.","Basic Materials","Oil & Gas Drilling & Exploration","Canada",853.88,13.87,7.13,-1.11%,39293
54,"BZC","Breeze-Eastern Corporation","Industrial Goods","Aerospace/Defense Products & Services","USA",90.65,22.38,9.20,-2.13%,1651
55,"BZM","BlackRock Maryland Municipal Bond Trust","Financial","Asset Management","USA",25.30,9.78,12.30,0.65%,3268
56,"CAK","CAMAC Energy Inc.","Basic Materials","Independent Oil & Gas","USA",185.88,,1.12,-5.89%,161698
57,"CANF","Can-Fite BioPharma Ltd.","Healthcare","Biotechnology","Israel",36.66,,7.00,15.34%,25614
58,"CAW","CCA Industries Inc.","Consumer Goods","Personal Products","USA",21.23,,3.05,1.33%,1100
59,"CCA","MFS California Insured Municipal Fund","Financial","Closed-End Fund - Debt","USA",,,9.80,0.31%,3867
60,"CCF","Chase Corp.","Industrial Goods","Industrial Equipment & Components","USA",277.72,16.74,31.49,0.59%,1615
61,"CEF","Central Fund of Canada Limited","Financial","Asset Management","Canada",3450.11,,13.62,0.44%,222819
62,"CEP","Constellation Energy Partners LLC","Basic Materials","Oil & Gas Drilling & Exploration","USA",52.43,,2.18,-0.90%,700
63,"CET","Central Securities Corp.","Financial","Asset Management","USA",484.84,6.56,21.09,0.72%,10259
64,"CEV","Eaton Vance California Municipal Income Trust","Financial","Closed-End Fund - Debt","USA",,,10.97,0.09%,21469
65,"CFP","Cornerstone Progressive Return ","Financial","Closed-End Fund - Equity","USA",128.64,11.57,5.07,-0.32%,73307
66,"CH","Aberdeen Chile Fund, Inc.","Financial","Closed-End Fund - Foreign","United Kingdom",97.62,,10.46,0.58%,18638
67,"CHGS","China Gengsheng Minerals, Inc.","Basic Materials","Nonmetallic Mineral Mining","China",5.63,,0.20,-4.71%,12672
68,"CIK","Credit Suisse Asset Management Income Fund Inc.","Financial","Asset Management","USA",183.29,9.00,3.51,0.00%,68957
69,"CIX","CompX International Inc.","Services","Security & Protection Services","USA",161.78,46.61,13.05,0.00%,0
70,"CLM","Cornerstone Strategic Value Fund Inc.","Financial","Closed-End Fund - Equity","USA",,,6.19,-0.45%,120331
71,"CMFO","China Marine Food Group Limited","Consumer Goods","Processed & Packaged Goods","China",8.03,,0.26,-1.85%,16850
72,"CMT","Core Molding Technologies Inc.","Consumer Goods","Rubber & Plastics","USA",86.94,12.22,12.11,1.06%,2371
73,"CNR","China Metro-Rural Holdings Limited","Services","Air Delivery & Freight Services","Hong Kong",68.90,,0.99,3.13%,187
74,"COVR","Cover-All Technologies Inc.","Technology","Business Software & Services","USA",37.33,,1.43,0.71%,1030
75,"CPHI","China Pharma Holdings, Inc.","Healthcare","Drug Manufacturers - Major","China",16.12,,0.38,2.65%,10269
76,"CQP","Cheniere Energy Partners LP.","Basic Materials","Oil & Gas Pipelines","USA",5552.56,,28.78,-0.23%,21698
77,"CRF","Cornerstone Total Return Fund Inc.","Financial","Closed-End Fund - Equity","USA",,,5.66,-0.01%,55263
78,"CRMD","CorMedix, Inc.","Healthcare","Biotechnology","USA",10.96,,0.85,1.19%,10100
79,"CRV","Coast Distribution System Inc.","Services","Auto Parts Wholesale","USA",14.95,,3.18,0.00%,0
80,"CRVP","Crystal Rock Holdings, Inc.","Services","Food Wholesale","USA",18.59,,0.89,2.24%,157
81,"CTO","Consolidated Tomoka Land Co.","Financial","Real Estate Development","USA",208.27,134.15,35.91,-0.86%,1530
82,"CTP","CTPartners","Services","Staffing & Outsourcing Services","USA",43.98,,6.09,-2.56%,3205
83,"CUO","Continental Materials Corp.","Industrial Goods","Diversified Machinery","USA",30.70,7.12,19.00,1.44%,102
84,"CUR","Neuralstem, Inc.","Healthcare","Biotechnology","USA",171.17,,2.44,-0.38%,271444
85,"CVM","CEL-SCI Corp.","Healthcare","Biotechnology","USA",23.20,,0.71,-4.67%,194074
86,"CVR","Chicago Rivet & Machine Co.","Industrial Goods","Machine Tools & Accessories","USA",36.52,16.16,37.61,-0.53%,821
87,"CVU","CPI Aerostructures Inc.","Industrial Goods","Aerospace/Defense Products & Services","USA",124.54,14.00,14.99,1.01%,651
88,"CXM","Cardium Therapeutics Inc.","Healthcare","Biotechnology","USA",5.00,,0.76,-2.18%,17643
89,"DEJ","Dejour Energy Inc.","Basic Materials","Independent Oil & Gas","Canada",18.61,,0.12,-2.40%,377452
90,"DGSE","DGSE Companies Inc.","Services","Jewelry Stores","USA",28.74,,2.35,-0.42%,403
91,"DHY","Credit Suisse High Yield Bond Fund","Financial","Closed-End Fund - Debt","USA",296.32,6.35,3.07,0.66%,191847
92,"DIT","AMCON Distributing Co.","Services","Food Wholesale","USA",48.66,8.63,78.11,0.00%,0
93,"DLA","Delta Apparel Inc.","Consumer Goods","Textile - Apparel Clothing","USA",124.86,21.50,16.22,1.95%,2050
94,"DMF","Dreyfus Municipal Income Inc.","Financial","Closed-End Fund - Debt","USA",169.17,7.93,8.24,0.86%,80200
95,"DNN","Denison Mines Corp.","Basic Materials","Industrial Metals & Minerals","Canada",505.76,,1.15,-0.86%,133490
96,"DPW","Digital Power Corp.","Technology","Diversified Electronics","USA",4.25,,0.60,-3.23%,1002
97,"DSS","Document Security Systems, Inc.","Services","Business Services","USA",83.82,,1.97,-1.50%,394877
98,"DXR","Daxor Corp.","Healthcare","Medical Instruments & Supplies","USA",28.77,2.23,7.00,0.14%,992
99,"EAD","Wells Fargo Advantage Income Opportunities Fund","Financial","Closed-End Fund - Debt","USA",,,8.98,-0.32%,86690
100,"ECF","Ellsworth Fund Ltd.","Financial","Asset Management","USA",107.52,9.95,7.97,0.13%,4422
101,"EGAS","Gas Natural Inc.","Utilities","Gas Utilities","USA",68.57,12.09,8.03,-0.86%,17372
102,"EGI","Entree Gold Inc.","Basic Materials","Gold","Canada",41.09,,0.29,5.36%,10100
103,"EIA","Eaton Vance California Municipal Bond Fund II","Financial","Asset Management","USA",40.74,7.19,10.58,0.76%,7973
104,"EIM","Eaton Vance Municipal Bond Fund","Financial","Closed-End Fund - Debt","USA",,,11.29,0.36%,134688
105,"EIO","Eaton Vance Ohio Municipal Bond Fund","Financial","Closed-End Fund - Debt","USA",,,11.09,-0.09%,6275
106,"EIP","Eaton Vance Pennsylvania Municipal Bond Fund","Financial","Closed-End Fund - Debt","USA",,,11.17,-0.28%,11675
107,"EIV","Eaton Vance Municipal Bond Fund II","Financial","Closed-End Fund - Debt","USA",,,10.93,2.15%,62066
108,"ELLO","Ellomay Capital Ltd.","Utilities","Electric Utilities","Israel",97.64,8.64,9.16,0.00%,0
109,"ELMD","Electromed, Inc.","Healthcare","Home Health Care","USA",8.60,,1.05,-0.94%,1503
110,"EMAN","eMagin Corp.","Technology","Semiconductor Equipment & Materials","USA",60.85,129.00,2.54,-1.55%,44328
111,"EMI","Eaton Vance Michigan Municipal Income Trust","Financial","Closed-End Fund - Debt","USA",,,10.94,0.49%,608
112,"EMJ","Eaton Vance New Jersey Municipal Bond Fund","Financial","Closed-End Fund - Debt","USA",,,11.54,0.00%,6370
113,"EMXX","Eurasian Minerals Inc.","Basic Materials","Industrial Metals & Minerals","Canada",64.21,,0.87,-1.12%,13200
114,"ENX","Eaton Vance New York Municipal Bond Fund","Financial","Closed-End Fund - Debt","USA",,,11.29,0.71%,12242
115,"EOX","Emerald Oil, Inc.","Basic Materials","Independent Oil & Gas","USA",294.81,,6.92,0.29%,61861
116,"EPM","Evolution Petroleum Corp.","Basic Materials","Independent Oil & Gas","USA",343.00,59.95,12.07,0.67%,5546
117,"ERB","ERBA Diagnostics, Inc.","Healthcare","Medical Instruments & Supplies","USA",93.43,,2.11,-1.40%,15087
