Ticker, Code, Name
ARBA,GOOG/NASDAQ_ARBA,Ariba 
ARCC,GOOG/NASDAQ_ARCC,Ares Capital Corporation 
ARCI,GOOG/NASDAQ_ARCI,Appliance Recycling Centers of America 
ARCP,GOOG/NASDAQ_ARCP,American Realty Capital Properties Inc 
ARCT,GOOG/NASDAQ_ARCT,American Realty Capital Trust 
ARCW,GOOG/NASDAQ_ARCW,Arc Group World Wide Inc 
ARDNA,GOOG/NASDAQ_ARDNA,Arden Group
AREX,GOOG/NASDAQ_AREX,Approach Resources Inc. 
ARIA,GOOG/NASDAQ_ARIA,Ariad Pharmaceuticals
ARII,GOOG/NASDAQ_ARII,American Railcar Industries
ARKR,GOOG/NASDAQ_ARKR,Ark Restaurants Corp. 
ARLP,GOOG/NASDAQ_ARLP,Alliance Resource Partners
ARMH,GOOG/NASDAQ_ARMH,ARM Holdings plc 
ARNA,GOOG/NASDAQ_ARNA,Arena Pharmaceuticals
AROW,GOOG/NASDAQ_AROW,Arrow Financial Corporation 
ARQL,GOOG/NASDAQ_ARQL,ArQule
ARRS,GOOG/NASDAQ_ARRS,Arris Group
ARRY,GOOG/NASDAQ_ARRY,Array Biopharma Inc 
ARTC,GOOG/NASDAQ_ARTC,ArthroCare Corporation 
ARTNA,GOOG/NASDAQ_ARTNA,Artesian Resources Corporation 
ARTW,GOOG/NASDAQ_ARTW,Arts-Way Manufacturing Co. Inc. 
ARTX,GOOG/NASDAQ_ARTX,Arotech Corporation 
ARUN,GOOG/NASDAQ_ARUN,Aruba Networks
ARWR,GOOG/NASDAQ_ARWR,Arrowhead Research Corp 
ASBB,GOOG/NASDAQ_ASBB,ASB Bancorp Inc 
ASBC,GOOG/NASDAQ_ASBC,Associated Banc Corp 
ASBI,GOOG/NASDAQ_ASBI,Ameriana Bancorp 
ASCA,GOOG/NASDAQ_ASCA,Ameristar Casinos
ASCMA,GOOG/NASDAQ_ASCMA,Ascent Capital Group Inc 
ASEI,GOOG/NASDAQ_ASEI,American Science &amp; Engineering
ASFI,GOOG/NASDAQ_ASFI,Asta Funding
ASGN,GOOG/NASDAQ_ASGN,On Assignment 
ASIA,GOOG/NASDAQ_ASIA,AsiaInfo-Linkage
ASMI,GOOG/NASDAQ_ASMI,ASM International NV 
ASML,GOOG/NASDAQ_ASML,ASML Holding N.V. 
ASNA,GOOG/NASDAQ_ASNA,Ascena Retail Group Inc 
ASPS,GOOG/NASDAQ_ASPS,Altisource Portfolio Solutions S.A. 
ASRV,GOOG/NASDAQ_ASRV,AmeriServ Financial
ASRVP,GOOG/NASDAQ_ASRVP,AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities
ASTC,GOOG/NASDAQ_ASTC,Astrotech Corp 
ASTE,GOOG/NASDAQ_ASTE,Astec Industries
ASTI,GOOG/NASDAQ_ASTI,Ascent Solar Technologies
ASTM,GOOG/NASDAQ_ASTM,Aastrom Biosciences
ASTX,GOOG/NASDAQ_ASTX,Astex Pharmaceuticals
ASUR,GOOG/NASDAQ_ASUR,Asure Software Inc 
ASYS,GOOG/NASDAQ_ASYS,Amtech Systems
